time,I
0.063986,0.97
0.164402,0.97
0.264911,0.97
0.365964,0.97
0.466285,0.97
0.567454,0.97
0.668439,0.97
0.768480,0.97
0.872685,0.97
0.973691,0.97
1.076275,0.97
1.177335,0.97
1.277814,0.97
1.379846,0.97
1.481046,0.97
1.583170,0.97
1.685102,0.97
1.787796,0.97
1.888932,0.97
1.989843,0.97
2.090933,0.97
2.191977,0.97
2.293093,0.97
2.395230,0.97
2.502920,0.97
2.605536,0.97
2.705686,0.97
2.807085,0.97
2.907615,0.97
3.009842,0.97
3.112182,0.97
3.213295,0.97
3.314291,0.97
3.414518,0.97
3.514971,0.97
3.617481,0.97
3.720546,0.97
3.822627,0.97
3.923628,0.97
4.025352,0.97
4.125425,0.97
4.226215,0.97
4.327944,0.97
4.429079,0.97
4.530421,0.97
4.632793,0.97
4.735640,0.97
4.836902,0.97
4.938035,0.97
5.038872,0.97
5.141443,0.97
5.241428,0.97
5.343241,0.97
5.444835,0.97
5.547445,0.97
5.649913,0.97
5.751511,0.97
5.852197,0.00
5.952443,0.97
6.052617,0.97
6.153202,0.97
6.253620,0.00
6.355927,0.97
6.457607,0.97
6.559131,0.97
6.660531,0.97
6.761897,0.00
6.863417,0.97
6.963733,0.00
7.066223,0.00
7.168532,0.00
7.270538,0.00
7.372919,0.97
7.474050,0.00
7.576034,0.97
7.678456,0.00
7.780824,0.00
7.882096,0.00
7.983540,0.97
8.086463,0.00
8.188329,0.00
8.289240,0.00
8.390110,0.00
8.490886,0.00
8.592936,0.00
8.695228,0.97
8.796150,0.00
8.897094,0.00
8.998681,0.00
9.099448,0.00
9.201045,0.00
9.301808,0.00
9.404042,0.97
9.504970,0.97
9.607371,0.00
9.709375,0.00
9.811604,0.00
9.913131,0.00
10.015388,0.00
10.117017,0.97
10.220327,0.97
10.321840,0.00
10.423082,0.00
10.525041,0.97
10.626449,0.97
10.727619,0.00
10.828868,0.00
10.929897,0.00
11.031466,0.00
11.132908,0.00
11.233760,0.97
11.343182,0.97
11.444439,0.97
11.547817,0.97
11.649453,0.00
11.750109,0.00
11.851424,0.97
11.952678,0.97
12.053942,0.97
12.155859,0.97
12.257997,0.97
12.360721,0.97
12.463327,0.97
12.564789,0.97
12.667469,0.97
12.770097,0.97
12.872966,0.97
12.973716,0.97
13.075357,0.97
13.176799,0.97
13.277838,0.97
13.380328,0.00
13.481263,0.97
13.582120,0.00
13.684339,0.97
13.786979,0.97
13.889079,0.97
13.990073,0.00
14.090469,0.00
14.190613,0.00
14.292224,0.00
14.393324,0.00
14.494911,0.00
14.596271,0.00
14.697254,0.00
14.799448,0.00
14.900699,0.97
15.002197,0.97
15.103775,0.00
15.205214,0.00
15.305539,0.00
15.406947,0.00
15.508732,0.00
15.609940,0.00
15.711326,0.00
15.811906,0.00
15.913447,0.00
16.014581,0.00
16.117830,0.00
16.219638,0.00
16.321535,0.00
16.423056,0.00
16.524880,0.00
16.627779,0.00
16.729072,0.00
16.830386,0.00
16.932994,0.00
17.035426,0.00
17.136982,0.00
17.238111,0.00
17.339106,0.00
17.441718,0.00
17.544661,0.00
17.647595,0.00
17.750583,0.00
17.852814,0.00
17.954605,0.00
18.056792,0.00
18.158047,0.00
18.259678,0.00
18.360921,0.00
18.461981,0.00
18.563642,0.00
18.664647,0.00
18.767299,0.00
18.868945,0.00
18.970331,0.97
19.072595,0.97
19.174619,0.00
19.276792,0.00
19.377875,0.00
19.479409,0.00
19.580826,0.00
19.683714,0.00
19.785410,0.97
19.888210,0.97
19.989489,0.00
20.091726,0.00
20.193772,0.00
20.294628,0.97
20.397325,0.97
20.499706,0.97
20.601382,0.97
20.703313,0.97
20.804519,0.97
20.904944,0.97
21.006969,0.97
21.108712,0.97
21.210249,0.97
21.311519,0.00
21.413678,0.97
21.516635,0.97
21.618005,0.97
21.720260,0.97
21.821274,0.97
21.921984,0.97
22.024433,0.97
22.125809,0.97
22.228099,0.97
22.330307,0.97
22.432674,0.97
22.535682,0.97
22.637318,0.97
22.737456,0.97
22.839804,0.97
22.941347,0.97
23.043839,0.97
23.145077,0.97
23.246066,0.97
23.346279,0.97
23.448763,0.97
23.551242,0.00
23.652018,0.00
23.753385,0.00
23.855475,0.97
23.956179,0.00
24.057757,0.97
24.160494,0.97
24.260614,0.97
24.362177,0.97
24.462982,0.00
24.564843,0.97
24.665634,0.00
24.767298,0.97
24.868960,0.00
24.970184,0.97
25.072839,0.97
25.175189,0.00
25.276383,0.00
25.376921,0.97
25.478299,0.00
25.579059,0.97
25.680720,0.97
25.783741,0.97
25.885190,0.97
25.986151,0.97
26.087701,0.97
26.190444,0.97
26.291305,0.97
26.391687,0.97
26.494354,0.97
26.595259,0.97
26.696143,0.97
26.798854,0.97
26.900594,0.97
27.002824,0.97
27.103738,0.97
27.205574,0.97
27.307362,0.97
27.410221,0.97
27.511961,0.97
27.613883,0.97
27.716626,0.97
27.820022,0.97
27.920852,0.97
28.023451,0.97
28.123710,0.97
28.226141,0.97
28.327894,0.97
28.429965,0.97
28.530930,0.97
28.632176,0.97
28.733830,0.97
28.835334,0.97
28.936820,0.97
29.037991,0.97
29.138462,0.97
